"theme","quote","attribution","bio","challenge"
"Giving","We make a living by what we get.  We make a life by what we give.","Winston Churchill","Churchill was a British politician known chiefly for his leadership of the United Kingdom during World War II.  He served as Prime Minister of the United Kingdom from 1940 to 1945 and again from 1951 to 1955. Churchill was a noted statesman and orator in addition to being an officer in the British Army, a historian, a Nobel Prize-winning writer and an artist.","The Challenge for today is to go out of your way to be generous to three other people."
"Compassion and Generosity","Let your heart feel for the afflictions and distresses of everyone, and let your hand give in proportion to your purse.","George Washington","Washington was the first president of the United States and led the Continental Army to victory over Great Britain in the American Revolutionary War (1775-1783).","The Challenge for today is to be generous.  Feel your heart.  Be compassionate and give of yourself wherever you can."
"Be the Change","You must be the change you wish to see in the world.","Mahatma Mohandas K. Gandhi","Gandhi was a major political and spiritual leader of India and the Indian independence movement. He believed in moving the masses by acts of non-violent civil disobedience. His birthday, October 2, is known worldwide as the International Day of Nonviolence.","The Challenge for today is to notice what's happening.  Create a vision for how you'd like things to be and take at least one positive action to make your vision a reality."
"Thankfulness","Be thankful for what you have; you'll end up having more.  If you concentrate on what you don't have, you will never, ever have enough.","Oprah Winfrey","Winfrey is an American television host, media mogul and philanthropist.  Born in rural Mississippi to a poor unwed teenage mother, Winfrey began her career at the early age of 19 co-anchoring the local evening news and is now regarded as one of the world's most influential women.","The Challenge for today is to acknowledge three things in your life for which you are thankful."
"Leadership","I wish for you a magnificent obsession that will give you reason for living and purpose and direction in life.","Dr. Earl Reum","Reum is considered by many to be the quintessential leader of school student activities programs across the country.  An award named for him is presented annually to one middle school and one high school activities adviser annually.","The Challenge for today is to share your magnificent obsession in life with two other people."
"Outlooks on Life","The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.","William Blake","William Blake was an English poet, painter and printmaker. He was largely unrecognized during his lifetime, but Blake's work is now considered seminal in the history of both poetry and the visual arts.","The Challenge for today is to think of one situation where you can choose to be an optimist or a realist."
"Compassion","Compassion is the ultimate and most meaningful embodiment of emotional maturity.  It is through compassion that a person achieves the highest peak and deepest reach in his or her search for self-fulfillment.","Arthur Jersild","Jersild was a child psychologist who spent decades studying the ways in which schools can foster self-awareness in children and teachers.  He discovered that students had a great deal of common understanding in matters pertaining to their own character traits, emotional tendencies and feelings about other people.","The Challenge for today is to keep your heart open and look through compassionate eyes."
"Appreciate an Educator","Knowledge is love and light and vision.","Helen Keller","Keller was an American author, activist, and lecturer. She was the first deaf blind person to have graduated from college. What is less known about Keller was her opposition to war and her campaign for women's suffrage, workers' rights and socialism.","The Challenge for today is to thank a teacher, counselor, administrator or staff member who has positively touched your life."
"Peace with Who You Are","Gratitude unlocks the fullness of life.  It turns what we have into enough and more.  It turns denial into acceptance, chaos into order and confusion into clarity.  It can turn a meal into a feast, a house into home, a stranger into a friend.  Gratitude makes sense of our past, brings peace for today and creates a vision for tomorrow.","Melody Beattie","Beattie is the author of Codependent No More (1987), which became a phenomenon of the self-help movement.  As an author of more than a dozen other books, her body of work continues to be a staple in Co-Dependents Anonymous or 'CoDA' meeting rooms everywhere.","The Challenge for today is to be grateful.  Celebrate the good in life."
"Gratitude","Sometimes our light goes out but is blown into flame by another human being.  Each of us owes deepest thanks to those who have rekindled this light.","Albert Schweitzer","Schweitzer was a theologian, musician, philosopher and physician. He received a Nobel Peace Prize in 1953 for his philosophy of 'reverence for life' for founding and sustaining the Albert Schweitzer Hospital in Gabon in west central Africa.","The Challenge for today is to thank two people who have 'been there' when you needed them."
"Sportsmanship","One man practicing sportsmanship is far better than a hundred teaching it.","Knute Rockne","Rockne was an American football player and is regarded as one of the greatest coaches in college football history. He was a native Norwegian and was trained as a chemist at Notre Dame. He is considered to be the father of the forward pass in football.","The Challenge for today is to be a good sport.  Go out of your way to be especially fair and just."
"Do Good","The noblest question in the world is:  What good may I do?","John F. Kennedy","Kennedy, often referred to by his initials JFK, was the 35th president of the United States, serving from 1961 until his assassination in 1963.  At 43, Kennedy was the youngest elected president and was the only president to have won a Pulitzer Prize. ","The Challenge for today is find two instances to go out of your way to be of service to others."
